noise_type,snr_db,condition,accuracy,macro_f1
clean,clean,clean,0.987,0.9866
white,20,white_20,0.313,0.2762
white,10,white_10,0.2191,0.1587
white,0,white_0,0.1977,0.1182
white,-5,white_-5,0.1435,0.0626
real,20,real_20,0.771,0.7684
real,10,real_10,0.574,0.5735
real,0,real_0,0.4092,0.4137
real,-5,real_-5,0.3321,0.3301
