model,label,noise_type,mean_recall_loss_auc,min_recall_loss_auc,max_recall_loss_auc,n_replicates
crnn,viola,audience,0.251768867925,0.218160377358,0.285377358491,2
crnn,violin,audience,0.119509043928,0.117894056848,0.121124031008,2
crnn,bassoon,studio,0.455326460481,0.441151202749,0.469501718213,2
crnn,cello,studio,0.463949275362,0.457608695652,0.470289855072,2
crnn,clarinet,studio,0.476539039039,0.471471471471,0.481606606607,2
crnn,double-bass,studio,0.233514492754,0.226811594203,0.240217391304,2
crnn,flute,studio,0.385683760684,0.377492877493,0.393874643875,2
crnn,french-horn,studio,0.511044176707,0.4859437751,0.536144578313,2
crnn,oboe,studio,0.606540084388,0.605485232068,0.607594936709,2
crnn,trombone,studio,0.461074561404,0.453581871345,0.468567251462,2
crnn,trumpet,studio,0.596474358974,0.573717948718,0.619230769231,2
crnn,tuba,studio,0.685819892473,0.680779569892,0.690860215054,2
crnn,viola,studio,0.397405660377,0.394261006289,0.400550314465,2
crnn,violin,studio,0.273740310078,0.258074935401,0.289405684755,2
mert,bassoon,white,0.430412371134,0.426975945017,0.433848797251,2
mert,cello,white,0.474637681159,0.474637681159,0.474637681159,2
mert,clarinet,white,0.565315315315,0.564564564565,0.566066066066,2
mert,double-bass,white,0.0105072463768,0.00869565217391,0.0123188405797,2
mert,flute,white,0.22150997151,0.220085470085,0.222934472934,2
mert,french-horn,white,0.431726907631,0.430722891566,0.432730923695,2
mert,oboe,white,0.777953586498,0.776371308017,0.779535864979,2
mert,trombone,white,0.255299707602,0.250730994152,0.259868421053,2
mert,trumpet,white,0.542307692308,0.539743589744,0.544871794872,2
mert,tuba,white,0.877016129032,0.875672043011,0.878360215054,2
mert,viola,white,0.466194968553,0.463836477987,0.468553459119,2
mert,violin,white,-0.0489341085271,-0.0490956072351,-0.0487726098191,2
mert,bassoon,audience,0.305841924399,0.297680412371,0.314003436426,2
mert,cello,audience,0.25018115942,0.24384057971,0.25652173913,2
mert,clarinet,audience,0.360172672673,0.358108108108,0.362237237237,2
mert,double-bass,audience,0.0606884057971,0.0416666666667,0.0797101449275,2
mert,flute,audience,0.235754985755,0.227207977208,0.244301994302,2
mert,french-horn,audience,0.305973895582,0.302208835341,0.309738955823,2
mert,oboe,audience,0.410601265823,0.409282700422,0.411919831224,2
mert,trombone,audience,0.211074561404,0.205409356725,0.216739766082,2
mert,trumpet,audience,0.244230769231,0.228205128205,0.260256410256,2
mert,tuba,audience,0.507728494624,0.485215053763,0.530241935484,2
mert,viola,audience,0.210495283019,0.199685534591,0.221305031447,2
mert,violin,audience,0.0145348837209,0.0138888888889,0.015180878553,2
mert,bassoon,studio,0.324957044674,0.323024054983,0.326890034364,2
mert,cello,studio,0.269927536232,0.266666666667,0.273188405797,2
mert,clarinet,studio,0.523273273273,0.52027027027,0.526276276276,2
mert,double-bass,studio,0.018115942029,0.00978260869565,0.0264492753623,2
mert,flute,studio,0.112535612536,0.102564102564,0.122507122507,2
mert,french-horn,studio,0.245230923695,0.230923694779,0.25953815261,2
mert,oboe,studio,0.443829113924,0.438291139241,0.449367088608,2
mert,trombone,studio,0.394005847953,0.392543859649,0.395467836257,2
mert,trumpet,studio,0.370192307692,0.362179487179,0.378205128205,2
mert,tuba,studio,0.562836021505,0.561155913978,0.564516129032,2
mert,viola,studio,0.210691823899,0.185534591195,0.235849056604,2
mert,violin,studio,0.0625,0.0529715762274,0.0720284237726,2
ast,bassoon,white,0.55412371134,0.548109965636,0.560137457045,2
ast,cello,white,0.427717391304,0.423913043478,0.43152173913,2
ast,clarinet,white,0.231606606607,0.225600600601,0.237612612613,2
ast,double-bass,white,0.136956521739,0.133695652174,0.140217391304,2
ast,flute,white,0.262464387464,0.26103988604,0.263888888889,2
ast,french-horn,white,0.385291164659,0.380020080321,0.390562248996,2
ast,oboe,white,0.582278481013,0.581223628692,0.583333333333,2
ast,trombone,white,0.0263157894737,0.0222953216374,0.0303362573099,2
ast,trumpet,white,0.586217948718,0.585897435897,0.586538461538,2
ast,tuba,white,0.392809139785,0.385752688172,0.399865591398,2
ast,viola,white,0.36320754717,0.361242138365,0.365172955975,2
ast,violin,white,0.140665374677,0.139534883721,0.141795865633,2
ast,bassoon,audience,0.285652920962,0.283505154639,0.287800687285,2
ast,cello,audience,0.183695652174,0.180072463768,0.18731884058,2
ast,clarinet,audience,0.125750750751,0.123873873874,0.127627627628,2
ast,double-bass,audience,0.0297101449275,0.0228260869565,0.0365942028986,2
ast,flute,audience,0.180911680912,0.176282051282,0.185541310541,2
ast,french-horn,audience,0.275602409639,0.265562248996,0.285642570281,2
ast,oboe,audience,0.325421940928,0.31276371308,0.338080168776,2
ast,trombone,audience,0.0871710526316,0.0800438596491,0.094298245614,2
ast,trumpet,audience,0.230448717949,0.224358974359,0.236538461538,2
ast,tuba,audience,0.371639784946,0.335349462366,0.407930107527,2
ast,viola,audience,0.148191823899,0.133647798742,0.162735849057,2
ast,violin,audience,0.246285529716,0.22642118863,0.266149870801,2
ast,bassoon,studio,0.404424398625,0.397336769759,0.411512027491,2
ast,cello,studio,0.171014492754,0.165579710145,0.176449275362,2
ast,clarinet,studio,0.178866366366,0.178678678679,0.179054054054,2
ast,double-bass,studio,0.0282608695652,0.0235507246377,0.0329710144928,2
ast,flute,studio,0.180911680912,0.174145299145,0.187678062678,2
ast,french-horn,studio,0.224397590361,0.211345381526,0.237449799197,2
ast,oboe,studio,0.381065400844,0.376054852321,0.386075949367,2
ast,trombone,studio,0.118055555556,0.116959064327,0.119152046784,2
ast,trumpet,studio,0.344230769231,0.333333333333,0.355128205128,2
ast,tuba,studio,0.413306451613,0.399193548387,0.427419354839,2
ast,viola,studio,0.127161949686,0.126965408805,0.127358490566,2
ast,violin,studio,0.322028423773,0.321705426357,0.322351421189,2
panns,bassoon,white,0.735824742268,0.735824742268,0.735824742268,2
panns,cello,white,0.854347826087,0.851449275362,0.857246376812,2
panns,clarinet,white,0.3628003003,0.355105105105,0.370495495495,2
panns,double-bass,white,0.757608695652,0.755797101449,0.759420289855,2
panns,flute,white,0.389066951567,0.38603988604,0.392094017094,2
panns,french-horn,white,0.647590361446,0.647590361446,0.647590361446,2
panns,oboe,white,0.729957805907,0.726793248945,0.733122362869,2
panns,trombone,white,0.102521929825,0.102339181287,0.102704678363,2
panns,trumpet,white,0.682692307692,0.682051282051,0.683333333333,2
panns,tuba,white,0.724462365591,0.723790322581,0.725134408602,2
panns,viola,white,0.497248427673,0.49213836478,0.502358490566,2
panns,violin,white,0.239341085271,0.239018087855,0.239664082687,2
panns,bassoon,audience,0.224226804124,0.215635738832,0.232817869416,2
panns,cello,audience,0.344746376812,0.321739130435,0.367753623188,2
panns,clarinet,audience,0.143956456456,0.138888888889,0.149024024024,2
panns,double-bass,audience,0.146014492754,0.139855072464,0.152173913043,2
panns,flute,audience,0.184472934473,0.176638176638,0.192307692308,2
panns,french-horn,audience,0.379267068273,0.370481927711,0.388052208835,2
panns,oboe,audience,0.294567510549,0.270042194093,0.319092827004,2
panns,trombone,audience,0.113486842105,0.111476608187,0.115497076023,2
panns,trumpet,audience,0.258974358974,0.253205128205,0.264743589744,2
panns,tuba,audience,0.271841397849,0.265793010753,0.277889784946,2
panns,viola,audience,0.158411949686,0.130110062893,0.186713836478,2
panns,violin,audience,0.146802325581,0.130813953488,0.162790697674,2
panns,bassoon,studio,0.349441580756,0.348367697595,0.350515463918,2
panns,cello,studio,0.43115942029,0.420652173913,0.441666666667,2
panns,clarinet,studio,0.180930930931,0.171546546547,0.190315315315,2
panns,double-bass,studio,0.204891304348,0.201811594203,0.207971014493,2
panns,flute,studio,0.134259259259,0.125,0.143518518519,2
panns,french-horn,studio,0.369477911647,0.352911646586,0.386044176707,2
panns,oboe,studio,0.378955696203,0.37447257384,0.383438818565,2
panns,trombone,studio,0.101973684211,0.0994152046784,0.104532163743,2
panns,trumpet,studio,0.392948717949,0.380128205128,0.405769230769,2
panns,tuba,studio,0.339045698925,0.338373655914,0.339717741935,2
panns,viola,studio,0.301690251572,0.295990566038,0.307389937107,2
panns,violin,studio,0.0762273901809,0.0717054263566,0.0807493540052,2
