noise_type,snr_db,replicate,macro_f1_crnn,macro_f1_cnn,delta_macro_f1,ci95_low,ci95_high,ci95_excludes_zero,sign_test_p,sign_clusters_favouring_b,sign_clusters_favouring_a,sign_clusters_tied,n_clusters,n_windows,sign_test_q,sign_test_rejected
white,20,0,0.21137775092456926,0.3235806124457076,0.11220286152113837,0.0560439175432191,0.1625181405550778,True,0.5600646295802106,26,21,47,94,1255,0.8400969443703159,False
white,20,1,0.21196837566064974,0.3249474336657572,0.11297905800510744,0.05892440148485163,0.16009164015760924,True,0.887724827340783,24,26,44,94,1255,0.887724827340783,False
audience,20,0,0.6657977964637045,0.6302187929143852,-0.03557900354931931,-0.0657317912129697,-0.0026679249109349138,True,0.2892437471090205,24,33,37,94,1255,0.578487494218041,False
audience,20,1,0.66093817896185,0.6576450668404005,-0.0032931121214495596,-0.024620320127863228,0.023200535955731277,False,0.7877061896700431,26,29,39,94,1255,0.887724827340783,False
studio,20,0,0.4940002318204004,0.4475156712976047,-0.046484560522795704,-0.07718380224201667,-0.013759238619467347,True,0.1550019040032606,24,36,34,94,1255,0.4650057120097818,False
studio,20,1,0.4791809325570631,0.45347154194516065,-0.025709390611902472,-0.04927638966309934,0.0015306175685529274,False,0.12991792302255253,25,38,31,94,1255,0.4650057120097818,False
