model,label,noise_type,replicate,recall_loss_auc
crnn,tuba,white,1,0.974462365591
crnn,viola,white,1,0.569968553459
crnn,violin,white,1,0.0458656330749
crnn,bassoon,audience,0,0.343642611684
crnn,cello,audience,0,0.374275362319
crnn,clarinet,audience,0,0.29542042042
crnn,double-bass,audience,0,0.18731884058
crnn,flute,audience,0,0.257478632479
crnn,french-horn,audience,0,0.56375502008
crnn,oboe,audience,0,0.520042194093
crnn,trombone,audience,0,0.204312865497
crnn,trumpet,audience,0,0.43141025641
crnn,tuba,audience,0,0.617607526882
crnn,viola,audience,0,0.218160377358
crnn,violin,audience,0,0.121124031008
crnn,bassoon,audience,1,0.308848797251
crnn,cello,audience,1,0.373550724638
crnn,clarinet,audience,1,0.278903903904
crnn,double-bass,audience,1,0.166304347826
crnn,flute,audience,1,0.290954415954
crnn,french-horn,audience,1,0.491465863454
crnn,oboe,audience,1,0.502109704641
crnn,trombone,audience,1,0.195540935673
crnn,trumpet,audience,1,0.448076923077
crnn,tuba,audience,1,0.576948924731
crnn,viola,audience,1,0.285377358491
crnn,violin,audience,1,0.117894056848
crnn,bassoon,studio,0,0.441151202749
crnn,cello,studio,0,0.470289855072
crnn,clarinet,studio,0,0.471471471471
crnn,double-bass,studio,0,0.226811594203
crnn,flute,studio,0,0.377492877493
crnn,french-horn,studio,0,0.536144578313
crnn,oboe,studio,0,0.607594936709
crnn,trombone,studio,0,0.453581871345
crnn,trumpet,studio,0,0.573717948718
crnn,tuba,studio,0,0.690860215054
crnn,viola,studio,0,0.400550314465
crnn,violin,studio,0,0.258074935401
crnn,bassoon,studio,1,0.469501718213
crnn,cello,studio,1,0.457608695652
crnn,clarinet,studio,1,0.481606606607
crnn,double-bass,studio,1,0.240217391304
crnn,flute,studio,1,0.393874643875
crnn,french-horn,studio,1,0.4859437751
crnn,oboe,studio,1,0.605485232068
crnn,trombone,studio,1,0.468567251462
crnn,trumpet,studio,1,0.619230769231
crnn,tuba,studio,1,0.680779569892
crnn,viola,studio,1,0.394261006289
crnn,violin,studio,1,0.289405684755
mert,bassoon,white,0,0.426975945017
mert,cello,white,0,0.474637681159
mert,clarinet,white,0,0.566066066066
mert,double-bass,white,0,0.00869565217391
mert,flute,white,0,0.222934472934
mert,french-horn,white,0,0.432730923695
mert,oboe,white,0,0.779535864979
mert,trombone,white,0,0.259868421053
mert,trumpet,white,0,0.539743589744
mert,tuba,white,0,0.878360215054
mert,viola,white,0,0.468553459119
mert,violin,white,0,-0.0487726098191
mert,bassoon,white,1,0.433848797251
mert,cello,white,1,0.474637681159
mert,clarinet,white,1,0.564564564565
mert,double-bass,white,1,0.0123188405797
mert,flute,white,1,0.220085470085
mert,french-horn,white,1,0.430722891566
mert,oboe,white,1,0.776371308017
mert,trombone,white,1,0.250730994152
mert,trumpet,white,1,0.544871794872
mert,tuba,white,1,0.875672043011
mert,viola,white,1,0.463836477987
mert,violin,white,1,-0.0490956072351
mert,bassoon,audience,0,0.314003436426
mert,cello,audience,0,0.25652173913
mert,clarinet,audience,0,0.358108108108
mert,double-bass,audience,0,0.0797101449275
mert,flute,audience,0,0.227207977208
mert,french-horn,audience,0,0.309738955823
mert,oboe,audience,0,0.411919831224
mert,trombone,audience,0,0.216739766082
mert,trumpet,audience,0,0.260256410256
mert,tuba,audience,0,0.530241935484
mert,viola,audience,0,0.199685534591
mert,violin,audience,0,0.015180878553
mert,bassoon,audience,1,0.297680412371
mert,cello,audience,1,0.24384057971
mert,clarinet,audience,1,0.362237237237
mert,double-bass,audience,1,0.0416666666667
mert,flute,audience,1,0.244301994302
mert,french-horn,audience,1,0.302208835341
mert,oboe,audience,1,0.409282700422
mert,trombone,audience,1,0.205409356725
mert,trumpet,audience,1,0.228205128205
mert,tuba,audience,1,0.485215053763
mert,viola,audience,1,0.221305031447
mert,violin,audience,1,0.0138888888889
mert,bassoon,studio,0,0.326890034364
mert,cello,studio,0,0.273188405797
mert,clarinet,studio,0,0.526276276276
mert,double-bass,studio,0,0.00978260869565
mert,flute,studio,0,0.102564102564
mert,french-horn,studio,0,0.25953815261
mert,oboe,studio,0,0.449367088608
mert,trombone,studio,0,0.395467836257
mert,trumpet,studio,0,0.362179487179
mert,tuba,studio,0,0.561155913978
mert,viola,studio,0,0.185534591195
