model,instrument_a,instrument_b,noise_type,mean_confusion_increase_auc,min_confusion_increase_auc,max_confusion_increase_auc,n_replicates
svm,cello,violin,audience,0.0473521233569,0.0441200426918,0.050584204022,2
svm,clarinet,double-bass,audience,0.0600225225225,0.0498318971145,0.0702131479305,2
svm,clarinet,flute,audience,0.0951504389004,0.0793437668438,0.110957110957,2
svm,clarinet,french-horn,audience,0.0758631372336,0.0645690871594,0.0871571873078,2
svm,clarinet,oboe,audience,0.144738092523,0.144322328658,0.145153856388,2
svm,clarinet,trombone,audience,0.0837309348823,0.082271416153,0.0851904536115,2
svm,clarinet,trumpet,audience,0.107357357357,0.0950421575422,0.119672557173,2
svm,clarinet,tuba,audience,0.083249327957,0.0782930107527,0.0882056451613,2
svm,clarinet,viola,audience,0.0461446115927,0.0456984106748,0.0465908125106,2
svm,clarinet,violin,audience,0.0557279663384,0.055603568685,0.0558523639919,2
svm,double-bass,flute,audience,0.0130821875387,0.0109082744952,0.0152561005822,2
svm,double-bass,french-horn,audience,0.0128012048193,0.00652610441767,0.0190763052209,2
svm,double-bass,oboe,audience,0.00382383966245,0.00105485232068,0.00659282700422,2
svm,double-bass,trombone,audience,0.0112390350877,0.00986842105263,0.0126096491228,2
svm,double-bass,trumpet,audience,0.00769927536232,0.007497212932,0.00790133779264,2
svm,double-bass,tuba,audience,0.109885606592,0.102331697055,0.117439516129,2
svm,double-bass,viola,audience,0.0414239814055,0.0396482772765,0.0431996855346,2
svm,double-bass,violin,audience,0.0237985900461,0.0233850129199,0.0242121671722,2
svm,flute,french-horn,audience,0.00784977516905,0.00476907630522,0.0109304740329,2
svm,flute,oboe,audience,0.0638174384219,0.0537591510693,0.0738757257745,2
svm,flute,trombone,audience,0.00830802968961,0.00400641025641,0.0126096491228,2
svm,flute,trumpet,audience,0.0368411680912,0.0290598290598,0.0446225071225,2
svm,flute,tuba,audience,0.00722446236559,0.00487231182796,0.00957661290323,2
svm,flute,viola,audience,0.0397197360641,0.0347709374832,0.0446685346449,2
svm,flute,violin,audience,0.0251813754721,0.022009375207,0.0283533757371,2
svm,french-horn,oboe,audience,-0.00580168776371,-0.00580168776371,-0.00580168776371,2
svm,french-horn,trombone,audience,0.00447513739167,0.00244618826182,0.00650408652152,2
svm,french-horn,trumpet,audience,0.0198486252703,0.0152957985789,0.0244014519617,2
svm,french-horn,tuba,audience,0.00739247311828,0.00672043010753,0.00806451612903,2
svm,french-horn,viola,audience,0.012332348261,0.0115793362128,0.0130853603092,2
svm,french-horn,violin,audience,0.0342805329847,0.0322900127642,0.0362710532051,2
svm,oboe,trombone,audience,0.00184599156118,0.00158227848101,0.00210970464135,2
svm,oboe,trumpet,audience,0.0148247322298,0.0138550795196,0.01579438494,2
svm,oboe,tuba,audience,0,0,0,2
svm,oboe,viola,audience,0.0144034611098,0.00738396624473,0.0214229559748,2
svm,oboe,violin,audience,0.00923813495568,0.00660918130376,0.0118670886076,2
svm,trombone,trumpet,audience,0.0508856275304,0.0501152721547,0.051655982906,2
svm,trombone,tuba,audience,0.00809399169968,0.00777270797963,0.00841527541973,2
svm,trombone,viola,audience,0.00868055555556,0.00822368421053,0.00913742690058,2
svm,trombone,violin,audience,0.0233790629675,0.0227925676595,0.0239655582755,2
svm,trumpet,tuba,audience,0.000840053763441,0,0.00168010752688,2
svm,trumpet,viola,audience,0.0124818577649,0.0106827527818,0.0142809627479,2
svm,trumpet,violin,audience,0.0207898529119,0.0175089445438,0.0240707612801,2
svm,tuba,viola,audience,0.0197412634409,0.0161290322581,0.0233534946237,2
svm,tuba,violin,audience,0.00336021505376,0.00184811827957,0.00487231182796,2
svm,viola,violin,audience,0.0563919969772,0.0562701111599,0.0565138827946,2
svm,bassoon,cello,studio,0.0242697594502,0.0191151202749,0.0294243986254,2
svm,bassoon,clarinet,studio,0.0968642611684,0.0962199312715,0.0975085910653,2
svm,bassoon,double-bass,studio,0.0547680412371,0.051116838488,0.0584192439863,2
svm,bassoon,flute,studio,0.0153565292096,0.0148195876289,0.0158934707904,2
svm,bassoon,french-horn,studio,0.0140730447563,0.0126769966464,0.0154690928663,2
svm,bassoon,oboe,studio,-0.011070511984,-0.0111683848797,-0.0109726390883,2
svm,bassoon,trombone,studio,0.00594968951589,0.0058856333273,0.00601374570447,2
svm,bassoon,trumpet,studio,-0.0128865979381,-0.0137457044674,-0.0120274914089,2
svm,bassoon,tuba,studio,0.000336021505376,0,0.000672043010753,2
svm,bassoon,viola,studio,0.00569158075601,0.00365120274914,0.00773195876289,2
svm,bassoon,violin,studio,0.0171821305842,0.0115979381443,0.0227663230241,2
svm,cello,clarinet,studio,0.111648061105,0.110732471602,0.112563650607,2
svm,cello,double-bass,studio,0.0836956521739,0.0789855072464,0.0884057971014,2
svm,cello,flute,studio,0.0373188405797,0.0351758949585,0.0394617862009,2
svm,cello,french-horn,studio,0.0323795180723,0.0306224899598,0.0341365461847,2
svm,cello,oboe,studio,0.0503691983122,0.04694092827,0.0537974683544,2
svm,cello,trombone,studio,0.00822368421053,0.00566520467836,0.0107821637427,2
svm,cello,trumpet,studio,0.0336538461538,0.0285256410256,0.0387820512821,2
svm,cello,tuba,studio,0.013188844086,0.0124327956989,0.0139448924731,2
svm,cello,viola,studio,0.0258690525021,0.0235490155865,0.0281890894176,2
svm,cello,violin,studio,0.0285993146837,0.0258187282328,0.0313799011347,2
svm,clarinet,double-bass,studio,0.0780519650085,0.0764247943596,0.0796791356574,2
svm,clarinet,flute,studio,0.147705397705,0.129841379841,0.165569415569,2
svm,clarinet,french-horn,studio,0.100808639965,0.0921184738956,0.109498806035,2
svm,clarinet,oboe,studio,0.188826880678,0.18579655605,0.191857205307,2
svm,clarinet,trombone,studio,0.123182392919,0.122441520468,0.123923265371,2
svm,clarinet,trumpet,studio,0.115494340494,0.115384615385,0.115604065604,2
svm,clarinet,tuba,studio,0.0780409946237,0.0757728494624,0.0803091397849,2
svm,clarinet,viola,studio,0.089743930251,0.0844364411581,0.0950514193439,2
svm,clarinet,violin,studio,0.0826786088414,0.0805791256373,0.0847780920455,2
svm,double-bass,flute,studio,0.0225651864239,0.0197696023783,0.0253607704695,2
svm,double-bass,french-horn,studio,0.0338855421687,0.0336345381526,0.0341365461847,2
svm,double-bass,oboe,studio,0.00474683544304,0.00210970464135,0.00738396624473,2
svm,double-bass,trombone,studio,0.0296052631579,0.0266812865497,0.0325292397661,2
svm,double-bass,trumpet,studio,0.0169871794872,0.0157051282051,0.0182692307692,2
svm,double-bass,tuba,studio,0.175829827022,0.169858870968,0.181800783076,2
svm,double-bass,viola,studio,0.0232371137544,0.0224569319114,0.0240172955975,2
svm,double-bass,violin,studio,0.0260602741265,0.0235788113695,0.0285417368835,2
svm,flute,french-horn,studio,0.0134287148594,0.0122991967871,0.0145582329317,2
svm,flute,oboe,studio,0.0661919831224,0.0588080168776,0.0735759493671,2
svm,flute,trombone,studio,0.0234831871345,0.0228435672515,0.0241228070175,2
svm,flute,trumpet,studio,0.0324786324786,0.0310897435897,0.0338675213675,2
svm,flute,tuba,studio,0.00890456989247,0.0085685483871,0.00924059139785,2
svm,flute,viola,studio,0.0282254542278,0.023951110036,0.0324997984196,2
svm,flute,violin,studio,0.0397286821705,0.039409825747,0.0400475385941,2
svm,french-horn,oboe,studio,-0.00474683544304,-0.00474683544304,-0.00474683544304,2
svm,french-horn,trombone,studio,0.00374854681885,0.00370120834214,0.00379588529557,2
svm,french-horn,trumpet,studio,0.0153112449799,0.0135542168675,0.0170682730924,2
svm,french-horn,tuba,studio,0.00646841397849,0.00537634408602,0.00756048387097,2
svm,french-horn,viola,studio,0.00378163597787,0.00376506024096,0.00379821171478,2
svm,french-horn,violin,studio,0.0194440552909,0.015795741104,0.0230923694779,2
svm,oboe,trombone,studio,0,0,0,2
svm,oboe,trumpet,studio,-0.00630477117819,-0.00694579681921,-0.00566374553716,2
svm,oboe,tuba,studio,0,0,0,2
svm,oboe,viola,studio,0.0106803797468,0.0105485232068,0.0108122362869,2
svm,oboe,violin,studio,0.00777953586498,0.00527426160338,0.0102848101266,2
svm,trombone,trumpet,studio,0.0458389563653,0.0438259109312,0.0478520017994,2
svm,trombone,tuba,studio,0.00235215053763,0.00201612903226,0.00268817204301,2
svm,trombone,viola,studio,0.0047514619883,0.00456871345029,0.00493421052632,2
svm,trombone,violin,studio,0.0173611111111,0.0164473684211,0.0182748538012,2
svm,trumpet,tuba,studio,0,0,0,2
svm,trumpet,viola,studio,0.0097454039671,0.00687590711176,0.0126149008224,2
svm,trumpet,violin,studio,0.0102564102564,0.0102564102564,0.0102564102564,2
svm,tuba,viola,studio,0.0049563172043,0.00403225806452,0.00588037634409,2
svm,tuba,violin,studio,0.00310819892473,0.00184811827957,0.00436827956989,2
svm,viola,violin,studio,0.0688395860758,0.0631399005412,0.0745392716104,2
cnn,bassoon,cello,white,0.0114522635589,0.00937173165994,0.0135327954579,2
cnn,bassoon,clarinet,white,0.000429553264605,0,0.00085910652921,2
cnn,bassoon,double-bass,white,0.118437173166,0.117148513372,0.11972583296,2
cnn,bassoon,flute,white,0.0214776632302,0.0214776632302,0.0214776632302,2
cnn,bassoon,french-horn,white,-0.0143382809589,-0.0159141721525,-0.0127623897652,2
cnn,bassoon,oboe,white,-0.0257731958763,-0.0257731958763,-0.0257731958763,2
cnn,bassoon,trombone,white,0.120902287936,0.119935793091,0.121868782782,2
cnn,bassoon,trumpet,white,-0.00515463917526,-0.00515463917526,-0.00515463917526,2
cnn,bassoon,tuba,white,0.00100806451613,0.000672043010753,0.00134408602151,2
cnn,bassoon,viola,white,0.000429553264605,0,0.00085910652921,2
cnn,bassoon,violin,white,0.0352142105544,0.0338181624444,0.0366102586643,2
cnn,cello,clarinet,white,0,0,0,2
cnn,cello,double-bass,white,0.139855072464,0.139492753623,0.140217391304,2
cnn,cello,flute,white,0.00652173913043,0.00579710144928,0.00724637681159,2
cnn,cello,french-horn,white,0.0486947791165,0.0486947791165,0.0486947791165,2
cnn,cello,oboe,white,0.0137130801688,0.0137130801688,0.0137130801688,2
cnn,cello,trombone,white,0.0976433384185,0.0962782862954,0.0990083905416,2
cnn,cello,trumpet,white,0,0,0,2
cnn,cello,tuba,white,0.00201612903226,0.00201612903226,0.00201612903226,2
cnn,cello,viola,white,0,0,0,2
cnn,cello,violin,white,0.0755947365465,0.0736293674868,0.0775601056061,2
cnn,clarinet,double-bass,white,0.0307807807808,0.03003003003,0.0315315315315,2
