model,instrument_a,instrument_b,noise_type,replicate,confusion_increase_auc
svm,cello,clarinet,audience,0,0.0698132915524
svm,cello,double-bass,audience,0,0.0527173913043
svm,cello,flute,audience,0,0.0162331227549
svm,cello,french-horn,audience,0,0.015813253012
svm,cello,oboe,audience,0,0.01555907173
svm,cello,trombone,audience,0,0.0109426646326
svm,cello,trumpet,audience,0,0.0105211817168
svm,cello,tuba,audience,0,0.0605627629734
svm,cello,viola,audience,0,0.0247026251025
svm,cello,violin,audience,0,0.0441200426918
svm,clarinet,double-bass,audience,0,0.0702131479305
svm,clarinet,flute,audience,0,0.0793437668438
svm,clarinet,french-horn,audience,0,0.0645690871594
svm,clarinet,oboe,audience,0,0.145153856388
svm,clarinet,trombone,audience,0,0.0851904536115
svm,clarinet,trumpet,audience,0,0.119672557173
svm,clarinet,tuba,audience,0,0.0882056451613
svm,clarinet,viola,audience,0,0.0456984106748
svm,clarinet,violin,audience,0,0.0558523639919
svm,double-bass,flute,audience,0,0.0109082744952
svm,double-bass,french-horn,audience,0,0.0190763052209
svm,double-bass,oboe,audience,0,0.00659282700422
svm,double-bass,trombone,audience,0,0.0126096491228
svm,double-bass,trumpet,audience,0,0.007497212932
svm,double-bass,tuba,audience,0,0.117439516129
svm,double-bass,viola,audience,0,0.0431996855346
svm,double-bass,violin,audience,0,0.0242121671722
svm,flute,french-horn,audience,0,0.0109304740329
svm,flute,oboe,audience,0,0.0738757257745
svm,flute,trombone,audience,0,0.00400641025641
svm,flute,trumpet,audience,0,0.0446225071225
svm,flute,tuba,audience,0,0.00957661290323
svm,flute,viola,audience,0,0.0347709374832
svm,flute,violin,audience,0,0.022009375207
svm,french-horn,oboe,audience,0,-0.00580168776371
svm,french-horn,trombone,audience,0,0.00650408652152
svm,french-horn,trumpet,audience,0,0.0244014519617
svm,french-horn,tuba,audience,0,0.00806451612903
svm,french-horn,viola,audience,0,0.0130853603092
svm,french-horn,violin,audience,0,0.0362710532051
svm,oboe,trombone,audience,0,0.00158227848101
svm,oboe,trumpet,audience,0,0.01579438494
svm,oboe,tuba,audience,0,0
svm,oboe,viola,audience,0,0.0214229559748
svm,oboe,violin,audience,0,0.00660918130376
svm,trombone,trumpet,audience,0,0.051655982906
svm,trombone,tuba,audience,0,0.00777270797963
svm,trombone,viola,audience,0,0.00913742690058
svm,trombone,violin,audience,0,0.0227925676595
svm,trumpet,tuba,audience,0,0.00168010752688
svm,trumpet,viola,audience,0,0.0106827527818
svm,trumpet,violin,audience,0,0.0240707612801
svm,tuba,viola,audience,0,0.0233534946237
svm,tuba,violin,audience,0,0.00184811827957
svm,viola,violin,audience,0,0.0562701111599
svm,bassoon,cello,audience,1,0.0136709995518
svm,bassoon,clarinet,audience,1,0.0884318596947
svm,bassoon,double-bass,audience,1,0.0193896608397
svm,bassoon,flute,audience,1,0.00722347049667
svm,bassoon,french-horn,audience,1,0.0246682606716
svm,bassoon,oboe,audience,1,-0.0107388316151
svm,bassoon,trombone,audience,1,0.0174684994273
svm,bassoon,trumpet,audience,1,-0.000122257467618
svm,bassoon,tuba,audience,1,0.00676719598714
svm,bassoon,viola,audience,1,0.0131702651884
svm,bassoon,violin,audience,1,0.0160632941741
svm,cello,clarinet,audience,1,0.0695848021935
svm,cello,double-bass,audience,1,0.0548913043478
svm,cello,flute,audience,1,0.0156648705562
svm,cello,french-horn,audience,1,0.0150602409639
svm,cello,oboe,audience,1,0.0202394056136
